A00-1001	187
N06-2002	178;4722;2453;2529;2630;2817
N06-2003	269;15208
N06-2004	513
N06-2005	1199;3280;7305
N06-2006	1202;15335;5693;2533
N06-2007	1242;9791;8024;5968
N06-2008	1653
N06-2009	1997;1365
N06-2010	2082;1705
N06-2011	2581;877;1020
N06-2012	2982
N06-2013	3005;7066
N06-2014	3027;4489;6171
N06-2015	14986;5175;15155;6713;8792
N06-2016	3594;182;3796;6040
N06-2017	3928
N06-2018	4121;7676;4113;1129;4617
N06-2019	4595;3779
N06-2020	4721;7424;395
N06-2021	4911
N06-2022	13864;8643
N06-2023	5251;14978
N06-2024	5526;8685;8230;1442
N06-2025	5674
N06-2026	5748;5451
N06-2027	5877;2099
N06-2028	6294;4790
N06-2029	6319;7894
N06-2030	6368;1343
N06-2031	6798;4019;5633
N06-2032	6958;14978
N06-2033	7076;4584
N06-2034	7094;9052;7370
N06-2035	7126;5921
N06-2036	7151;8269;2890
N06-2037	7393;2682;12742
N06-2038	7535
N06-2039	7637;14891
N06-2040	7803;958;7506;2407
N06-2041	7894;7879
N06-2042	7894;7879
N06-2043	7951;7002;4805
N06-2044	8240;5633;4683
N06-2045	8384
N06-2046	8655;9089
N06-2047	9009;5438;8805
N06-2048	9198;4642
N06-2049	9299;4078;7894
N06-2050	9375;6368
N06-2051	9394;8536;8602
N06-3001	1252
N06-3002	2082
N06-3003	2389
N06-3004	3464
N06-3005	4848
N06-3006	4871
N06-3007	5302
N06-3008	14244
N06-3009	8289
N06-3010	9213
N06-4001	269;15208
N06-4002	374;6625
N06-4003	406;7017
N06-4004	1822;14824
N06-4005	4953;5685;8398
N06-4006	6071
N06-4007	6350;4421
N06-4008	7918
N06-4009	8274;4513;2209
N06-4010	15335;5693;2533
N06-4011	9415;7584;7165;12161;6571;5138;11835
N06-5001	1476;5506
N06-5002	13209
N06-5003	5490;6676
N06-5004	1216;3190
N06-5005	7174;3016
N06-5006	9141;8259
N07-1001	6716;407;12742
N07-1002	5865;834;4328;982;8828;488;3835
N07-1003	9084;3209
N07-1004	3439;5633
N07-1005	8364;4326;9316;3615
N07-1006	4883;2722
N07-1007	8259;7930
N07-1008	3655;6990
N07-1009	1342;1023
N07-1010	5007
N07-1011	1603;8832;5339
N07-1012	4586;9140;142
N07-1013	9376;11675;8454;230
N07-1014	619
N07-1015	3742;11301
N07-1016	9122;2185
N07-1017	2759;6369;6250
N07-1018	3779;2901;14939
N07-1019	2722;7771
N07-1020	1684;5900
N07-1021	534
N07-1022	8923;5630
N07-1023	2564;5384
N07-1024	4980
N07-1025	5490
N07-1026	134;4165
N07-1027	4837
N07-1028	4432;142
N07-1029	12182;333;8985;5279;7326;1955
N07-1030	1824;385
N07-1031	7805;3204;6842
N07-1032	3927;2083;4060;6602
N07-1033	12459;2083;6453
N07-1034	3209
N07-1035	8128;712;4875
N07-1036	6651;14834
N07-1037	7985;3602;6114
N07-1038	7640;451
N07-1039	682;2609;267
N07-1040	7531;8130
N07-1041	549;1020
N07-1042	5143
N07-1043	722;5290;3629
N07-1044	4550;4019
N07-1045	3594
N07-1046	9321;347;4528;8602
N07-1047	3738;4287;7452
N07-1048	1567;13520;4451;6637;6638;7542;8501;273;14275;7808
N07-1049	316;1383
N07-1050	5970
N07-1051	6426;4199
N07-1052	3025;1771;4199
N07-1053	78;8472;14722
N07-1054	661;5384;6707
N07-1055	2118;326;1195
N07-1056	1838;451;11809
N07-1057	8977;4738
N07-1058	3218;1465;12548;2171
N07-1059	8658;7380
N07-1060	1465;12548
N07-1061	8410;3615
N07-1062	9264;5893
N07-1063	8536;9394;8602
N07-1064	7556;2850;3614
N07-1065	6474;568
N07-1066	4230;7527;6026
N07-1067	7249;5384;2909;142
N07-1068	8966;9091
N07-1069	9138;4952;15155
N07-1070	6579;8720;5218
N07-1071	6250;601;1501;1328;14986
N07-1072	6237;2243
N07-2001	84;8128;4875
N07-2002	13006;2173;5184
N07-2003	712;2875;3492;4034;4371;4429;6740;8234
N07-2004	863;5670;2407
N07-2005	1379;8158;6685
N07-2006	2052;8602;8631
N07-2007	2116;3005
N07-2008	2152;4287
N07-2009	2323;636
N07-2010	2370;7005
N07-2011	2391;6978;4875;8128
N07-2012	2490;8537;7660
N07-2013	2982;1777
N07-2014	3005;6707
N07-2015	13494;9264;5893
N07-2016	3175
N07-2017	3303;3365;6171;14284;5893
N07-2018	3457;8850
N07-2019	3492;7017
N07-2020	3795;3274;3553;3686;7444;2713;2130
N07-2021	3963;5630
N07-2022	4515;9500;1562
N07-2023	4563;7305
N07-2024	4627;9357;4907
N07-2025	4914;7461;7174
N07-2026	4885;4911
N07-2027	4941
N07-2028	5143;5339
N07-2029	5302;4730
N07-2030	5460
N07-2031	5892
N07-2032	15131;5290;3629
N07-2033	5975;7220;7305
N07-2034	6383;2813;8256;1068
N07-2035	13175;1562;8575;13330;13888;5893
N07-2036	7012
N07-2037	7173;1822
N07-2038	7233;8184;8782;9124;9190
N07-2039	7380
N07-2040	7460;9354
N07-2041	7461;7174;6551
N07-2042	7869;636
N07-2043	8269;7151
N07-2044	8278;9114;5345;5353;6371
N07-2045	8347;1195
N07-2046	8574;7856;4985
N07-2047	8711;7436;7955
N07-2048	8664;254
N07-2049	8995;4881;5438
N07-2050	9208
N07-2051	9203;4454;4888
N07-2052	9267;2983;5699
N07-2053	9268;5634
N07-2054	9288;14920
N07-2055	9352;4479;14986
N07-3001	13341
N07-3002	8683
N07-3003	6541
N07-3004	8274
N07-3005	2848
N07-3006	7865
N07-3007	6265
N07-3008	15297
N07-3009	6128
N07-3010	619
N07-4001	150;1141;2290;2557;3832;7949;8086
N07-4002	936;7508;7056;4653;8535
N07-4003	2040;988;2246;5204;5272;5633
N07-4004	4615;4629;4617
N07-4005	5740;3439;8330;4083;1033;5633;6804
N07-4006	14033
N07-4007	7380;8658;1187
N07-4008	7783;5694;3361;12835
N07-4009	8612;2073
N07-4010	8664;254
N07-4011	8945;1169
N07-4012	9072;8805;2286;6729;6744;5439;8499;6631;4811;7241;6684;4833;5536;4569;9318;821;6410
N07-4013	9122;409;852;962;2185;7647
N07-4014	9190;7233;8184;8782;9124
N07-4015	9352
N07-4016	9415;13603;5909;9194;8702;14752
N09-1001	11019;5194
N09-1002	11700;15336;5490;11355
N09-1003	67;137;14958;11864;15152;7693
N09-1004	11491;1895;11442;11447
N09-1005	10798;4221
N09-1006	11641;12243;7660;4911;11404;14106
N09-1007	11036;11314;5296;8323;8313
N09-1008	13049;2901;4199
N09-1009	1441;7626
N09-1010	7640;10575;2082;451
N09-1011	5874;7463
N09-1012	3201;3779;5349
N09-1013	9604;13400;14824
N09-1014	134;4165
N09-1015	1267;3997;2080
N09-1016	11542;4639;11583
N09-1017	11660;14834;5473
N09-1018	5476;6849
N09-1019	2118;1195;3779
N09-1020	3016;12403
N09-1021	6128;6040
N09-1022	3026;7930
N09-1023	12386;6040
N09-1024	10738;1281;8259
N09-1025	1296;4221;8692
N09-1026	1771;9504;6322;4199
N09-1027	8536;9394;7626;8602
N09-1028	9011;11806;12175;6051
N09-1029	11489;8952;1169
N09-1030	11675;11619;230;11260;9914;9376
N09-1031	11849;11903;12185;12199;7626
N09-1032	2963;9367;11693;12474;12415;7862
N09-1033	11184;6250
N09-1034	1175;9953;6980;8327
N09-1035	9516;4287;1281
N09-1036	3779;14939
N09-1037	2340;5147
N09-1038	12106;4732
N09-1039	7301
N09-1040	2082
N09-1041	3025;8491
N09-1042	9663;12539;451;11809
N09-1043	9520;317;7253
N09-1044	12835;12464;9635;8866
N09-1045	9554;3005;14978
N09-1046	11588
N09-1047	3016;12187;7174
N09-1048	12416;6109;8313
N09-1049	11767;13400;11392;14824
N09-1050	1252;9256;11254
N09-1051	1257
N09-1052	7173;60;11835
N09-1053	1257
N09-1054	11275;1442;7626
N09-1055	11581;8025
N09-1056	11394;11867;6245;12331
N09-1057	11686;6811
N09-1058	9966;13209;12364
N09-1059	7183;3988;4454
N09-1060	11840
N09-1061	13350;4410;7201;15329
N09-1062	1445;14939;686
N09-1063	6322;4199
N09-1064	7865;12595
N09-1065	5900
N09-1066	5581;1955;11591;3156;10562;10763;6676;9240
N09-1067	13209
N09-1068	2340;5147
N09-1069	4797;4199
N09-1070	4885;12111;10356;4911
N09-1071	6740;2171
N09-1072	3835;12163;15093
N09-1073	6881;3378
N09-1074	10491
N09-1075	11424;4732
N09-2001	347;8602;1281
N09-2002	6849;1406
N09-2003	10371;4060
N09-2004	8948;14920
N09-2005	13494;5893
N09-2006	9321;11492
N09-2007	5392;5323;12067
N09-2008	137;14958;11721
N09-2009	11393;1633;7504
N09-2010	9473;3814;15208
N09-2011	11376;1812
N09-2012	669;12300;150
N09-2013	11443;10720;11702;11192;11173;4707
N09-2014	7076;9687;1775;8270
N09-2015	12315;11509;11759
N09-2016	10482;13742;15392
N09-2017	12344;254
N09-2018	5918;389
N09-2019	13400;12372;4451;14824
N09-2020	3021;6358;3010
N09-2021	6958;14978
N09-2022	1501;5674;6832
N09-2023	10306;10168;4113;4617
N09-2024	8202;12429
N09-2025	6108;8313
N09-2026	13040;9415;5909
N09-2027	6534;7463
N09-2028	2681
N09-2029	4699;5364
N09-2030	11525;5490
N09-2031	9203;8313
N09-2032	15411;3242;5451
N09-2033	2557
N09-2034	11813;5796;4277;2525;6062;6116
N09-2035	680;8573
N09-2036	12142;4221
N09-2037	11696;9658;15208
N09-2038	347;11749;2052;1199;8602;7305;4528;8631;654
N09-2039	6547
N09-2040	11390;11716
N09-2041	12159;8816;9829
N09-2042	9299;11484;12479;12001;5922
N09-2043	4121;3728;4617
N09-2044	11613;11970;10466;6171
N09-2045	11795;12318;13469;415;11680
N09-2046	8025;13143
N09-2047	407;783;5829;6707;14249
N09-2048	12290;12835
N09-2049	13520;4451
N09-2050	10713;915
N09-2051	5007;2378;8719
N09-2052	12477;3199
N09-2053	1271;3734
N09-2054	3481;9814;3121
N09-2055	4495;11360;1068;12252;13198
N09-2056	6319;12439;7894;5790
N09-2057	2329;7833
N09-2058	9345;12835
N09-2059	3753;5343;4248;14832
N09-2060	12906
N09-2061	2725
N09-2062	8343;11416;545
N09-2063	14738
N09-2064	2409;4221
N09-2065	10501;389
N09-2066	316;1800
N09-2067	12440;8338;8548;14957;3121;8694
N09-2068	11459;14275
N09-2069	12442;12100;2533
N09-2070	12161;7393;11965;11835;11485
N09-2071	12010;407
N09-3001	12363;5007;6493;9389
N09-3002	11755;8084;12267;11625;11668
N09-3003	11842;11417
N09-3004	9889;8531
N09-3005	1913;15155
N09-3006	796
N09-3007	10766;15398;7299
N09-3008	11420;4287
N09-3009	11347
N09-3010	9473;6026
N09-3011	11408;1555;2459
N09-3012	11824;12009;11345
N09-3013	11928;12984;6235;13967
N09-3014	5773
N09-3015	12075;7820
N09-3016	12160;7575;11852
N09-3017	8269;11746
N09-4001	4837;11588
N09-4002	818;9011
N09-4003	3464
N09-4004	6541;7833
N09-4005	6860;145;3703
N09-4006	6579;9021
N09-4007	10222;4310;878
N09-4008	4221;7727
N09-5001	3734;1271
N09-5002	4429;15208;8888
N09-5003	11869;12399
N09-5004	4451;12372;12341;13520
N09-5005	6350;11853
N10-1001	6804
N10-1002	9308;389;4308;5233;5918
N10-1003	6426
N10-1004	5349;1195;3779
N10-1005	3481;3121
N10-1006	14618;4911
N10-1007	12010;407
N10-1008	4893;7380;9408
N10-1009	14348;3303;13743
N10-1010	13658;5130
N10-1011	9850;4550
N10-1012	14012;13721;2899;389
N10-1013	10810;5630
N10-1014	6322;4199;1296;4221
N10-1015	9612;673;4199
N10-1016	9001;9297;4748
N10-1017	13670;853
N10-1018	7009;6980
N10-1019	2573
N10-1020	10825;1281;13245
N10-1021	14121;6164;4586
N10-1022	14189;3723;7393;12161
N10-1023	14330
N10-1024	14035;989
N10-1025	14084;1979;2327;3723
N10-1026	12924;1971
N10-1027	389;13832
N10-1028	686;1445
N10-1029	1044;14891
N10-1030	1213;4903;11914
N10-1031	13227;4584
N10-1032	1981
N10-1033	11588
N10-1034	13392;644
N10-1035	13350;4410;7201
N10-1036	3734;1271;13306;13415;2909;14502
N10-1037	3669;3255;2990
N10-1038	3814;9738;9925;7626
N10-1039	11908;7719
N10-1040	13776;5584;3539
N10-1041	4837;5061;1955
N10-1042	4885;14550;10331;4911
N10-1043	10380;5865
N10-1044	5384;14225;11075;13969
N10-1045	11993;5854;2265
N10-1046	13964;4060;4193
N10-1047	6350
N10-1048	6496;12290
N10-1049	6707
N10-1050	7072;5970;8948
N10-1051	7215;13936;15133;13076;15328
N10-1052	7394;6811
N10-1053	7792;2971
N10-1054	11019;5194
N10-1055	14575;66
N10-1056	14647;6245;11542;4639
N10-1057	12459;989
N10-1058	14666;67;13842;7917
N10-1059	14693;12146;13538;4903
N10-1060	2412
N10-1061	3025;4199
N10-1062	11902;989;6164
N10-1063	14361;6664;8259
N10-1064	587;1126;2265
N10-1065	11823;11868;607
N10-1066	1175;9953;6980;10997
N10-1067	513;11407
N10-1068	1296;2858;4221;6322;10798
N10-1069	5364;14958;5143
N10-1070	14596;1290
N10-1071	13216;6857;14958;1383;13510;3380
N10-1072	14698;10336;3465;9377
N10-1073	8371;11823
N10-1074	13601;3779;11628
N10-1075	5720;5147
N10-1076	3015;5347;6870
N10-1077	13261;3530
N10-1078	4247
N10-1079	14061;13371;1068
N10-1080	1118;5147;3835
N10-1081	1441;13033;7626
N10-1082	4797;3804;4199
N10-1083	9544;13049;1771;4199
N10-1084	13116;1404
N10-1085	13260;5545;6881
N10-1086	3218;7626
N10-1087	4344;14986
N10-1088	13254;9122
N10-1089	11858;5130
N10-1090	11314;5296;8313
N10-1091	7917;5147
N10-1092	13374;14238;13011
N10-1093	13358;13597;3529;12240;7152
N10-1094	4419;624
N10-1095	3779;12855
N10-1096	13082;13744;6123
N10-1097	8704;15208
N10-1098	4429;15208
N10-1099	936;8128;225
N10-1100	14311;13552;3868
N10-1101	14608;14674;6171
N10-1102	11420;4287
N10-1103	3738;1281;4287
N10-1104	13267;14284;5893
N10-1105	13956;13614
N10-1106	9535;9389
N10-1107	12166;2798
N10-1108	14674;13551;14608;6171
N10-1109	6958
N10-1110	14147;13610;13493;5670;2407
N10-1111	14348;14644;6849;5339
N10-1112	9925;7626
N10-1113	14293;2448;14283
N10-1114	8098
N10-1115	2792;2099
N10-1116	14381;171;3835
N10-1117	6849;7617
N10-1118	2722
N10-1119	14524;661;3093;5364
N10-1120	5782;3600;4454
N10-1121	11228;4193
N10-1122	858;13270
N10-1123	10738;8491
N10-1124	9582;5922;13214
N10-1125	9850;4550
N10-1126	6307;13275;13779;13418;11422
N10-1127	2649
N10-1128	11588;6811
N10-1129	13433;2564;5147
N10-1130	11961
N10-1131	2555;227
N10-1132	5740;1026;12057
N10-1133	1128;5490;12910;11928;6235
N10-1134	13783;636
N10-1135	6355;12763
N10-1137	13717;4550
N10-1138	9738;14287;13125;7626
N10-1139	145;4430;5050;5587;6860
N10-1140	2564;5147
N10-1141	1771;4430;1216;6051
N10-1142	10284;1651;14088
N10-1143	13102
N10-1144	7531;13631
N10-1145	3218;7626
N10-1146	11993;5674;9246
N10-1147	12247
N10-2001	850;13491;13998;14095;7531;14347;14355;8745
N10-2002	13084;14986
N10-2003	1118;2564;3835;5147
N10-2004	14849;13041;15155
N10-2005	10211;12595;3805;11814
N10-2006	4081
N10-2007	11986;15208
N10-2008	14248;13599;14233
N10-2009	7076;1775;8270
N10-2010	14240;13747;14238;13011
N10-2011	14279;14055;13092;2626;12946
N10-2012	8677;14460;8566;13769;3436
N10-3001	6071
N10-3002	14513;11812
N10-3003	13078
N10-3004	12623
N10-3005	2715
N10-3006	14597
N10-3007	13605;13383;13659
N10-3008	4611
N10-3009	13824
N10-3010	14070
N10-3011	14341
N10-4001	4837;11588
N10-4002	10738
N10-4003	7867
N10-4004	8683;9315
N10-4005	14562;14209;6980
N10-4006	2197
N10-4007	4732;11424;14362
N10-4008	7128;7958;15316
N12-1001	15966
N12-1002	15967;15053;9972;559;14978;5865
N12-1003	8128;5061;14848;3218
N12-1004	9612;4199
N12-1005	15968;15539;144
N12-1006	15970;15969;11298;7747;7326;5279;5098;12459;989
N12-1007	13433;9461;13419;1979;5147
N12-1008	6778;451
N12-1009	14750;6676
N12-1010	4875;2391;14919;14895
N12-1011	14618;13284;9256
N12-1012	15972;15971;7407
N12-1013	7818;2083
N12-1014	10972;2083
N12-1015	15974;15973;3464
N12-1016	15975;3594
N12-1017	1984;5174
N12-1018	15091;1195
N12-1019	8128;5061;14848
N12-1020	15976;4627
N12-1021	2040;5929;839
N12-1022	4003;11048
N12-1023	9925;7626
N12-1024	6319;2083
N12-1025	15978;15977;15472;1680
N12-1026	8735
N12-1027	11961
N12-1028	15979;6605;14212
N12-1029	13563;8128;14848
N12-1030	14490;1610
N12-1031	4419;624;15116
N12-1032	14980;539
N12-1033	568;12126;9113
N12-1034	15980;6164;4586
N12-1035	13546;5893
N12-1036	14992;1247;14639;1169
N12-1037	15981;11267
N12-1038	15982;3594
N12-1039	8750;12166
N12-1040	5918;1445;389
N12-1041	15983;5460
N12-1042	15984;11481;5682
N12-1043	15118;10924;7263
N12-1044	11420;4287
N12-1045	15985;177
N12-1046	8341;6040;6811
N12-1047	1281;2411
N12-1048	15988;15987;15986;407;6716
N12-1049	15428;5147;3835
N12-1050	9568;15109
N12-1051	15989;4550
N12-1052	15990;5364;11125
N12-1053	15558;1555
N12-1054	15213;6426
N12-1055	15992;15991;10301
N12-1056	15993;8448
N12-1057	12131;6707;14891
N12-1058	13128;1854
N12-1059	15994;5279
N12-1060	10892;7174
N12-1061	14206;5174
N12-1062	15995;11512;2722
N12-1063	15997;15996;2407
N12-1064	15998;619
N12-1065	6591
N12-1066	7396;9376
N12-1067	11536;5896
N12-1068	15558;1555
N12-1069	9925;7626
N12-1070	15999;2376;4561
N12-1071	5581
N12-1072	16000;8643;201;14746
N12-1073	14778;8130
N12-1074	15429;6250;2573
N12-1075	16001;1066;756
N12-1076	16002;9782;8138
N12-1077	9141;10763
N12-1078	15355;8448;989
N12-1079	8341;4837
N12-1080	16003;3868
N12-1081	16004;13229
N12-1082	16006;16005;1997
N12-1083	12001;13084;14986
N12-1084	16009;16008;16007;9376
N12-1085	7215;797;15215;15328
N12-1086	9738;7626
N12-1087	15223;1175;6980
N12-1088	10128;9741
N12-1089	390;14834
N12-1090	12156;5900
N12-1091	16011;16010;2407
N12-1092	16012;8491;498
N12-1093	11856;4550
N12-1094	16017;16016;16015;16014;16013;14798;14797;9966;5545;1342;9741
N12-1095	9504;1771;4831
N12-1096	13419;2083;1979;8448
N12-1097	11275;11230;7626
N12-2001	16018;16019;10263;2423
N12-2002	16021;16020
N12-2003	16022
N12-2004	16023
N12-2005	16024
N12-2006	16025
N12-2007	15350;14970
N12-2008	14844
N12-2009	13424
N12-2010	10380
N12-2011	16026
N12-2012	16027
N12-3001	16029;16028;6976;5644
N12-3002	16031;16030;884
N12-3003	1951;9250;3243
N12-3004	16032;7370
N12-3005	16033;4385
N12-3006	9141;6664;14851;1281;8491;2585;7930;8259;2573
N12-3007	8270;1775
N12-3008	16034;1914;6980
N12-3009	14750;6676;3156
N12-4001	539
N12-4002	16035;15480;7626
N12-4003	14891;3005
N12-4005	9612;4199
P00-1001	835
P00-1002	8313
P00-1003	5635
P00-1004	8602;5893
P00-1005	4110;1338;1131
P00-1006	2411
P00-1007	4388;1633
P00-1008	15247
P00-1009	695
P00-1010	5139;8869
P00-1011	13000;5829;2670
P00-1012	5122
P00-1013	7006;6476;8186
P00-1014	6250;4831
P00-1015	9023;3453;9357
P00-1016	5901;9113
P00-1017	9130
P00-1018	5518
P00-1019	3805
P00-1020	1026;5633
P00-1021	8038;2441
P00-1022	2302;6374
P00-1023	5673
P00-1024	3805;8643
P00-1025	12520;3944
P00-1026	1760;110
P00-1027	9113;8830
P00-1028	4200
P00-1029	5709;13845;6592
P00-1030	6240;14978
P00-1031	1271;4632
P00-1032	9294;9357;3453;6238
P00-1033	4502;3453
P00-1034	4644;8313;6862
P00-1035	1595;9113
P00-1036	3255
P00-1037	846;5634
P00-1038	563;5554
P00-1039	5798
P00-1040	6796;4161;2140;133
P00-1041	409;5554;8888
P00-1042	8364;5033;5734;6187;3615
P00-1043	4058;1156;5967
P00-1044	5976;7370;8313
P00-1045	8466
P00-1046	4411
P00-1047	4271;5415;5925
P00-1048	4644;8313;6862
P00-1049	5767
P00-1050	3461;1338
P00-1051	6516;1274;3253;3335;4061;7793
P00-1052	5517;4417
P00-1053	3561;1570
P00-1054	7894
P00-1055	6831;13820;5466
P00-1056	6051;5893
P00-1057	7301;1296;1978
P00-1058	1296
P00-1059	407;6707
P00-1060	11022;10171;8948
P00-1061	6857;6592;4411;3779
P00-1062	2493;3623
P00-1063	6077;4638;1338
P00-1064	1688;15153;6858
P00-1065	2722;3835
P00-1066	6478;4257
P00-1067	4903;9357;2585;9023;3453
P00-1068	12654;3896;2499;3641;3648
P00-1069	6291;9274;4136
P00-1070	11153;2302
P00-1071	15109;3104;15152;5490;13347;2823;7031
P00-1072	4111;1338
P00-1073	2585;4632
P00-1074	7004;754
P00-1075	5842
P00-1076	6436
P00-1077	603;1134;7152
P00-1078	7692;6563;8971;5555
P00-1079	9220
P01-1001	2022
P01-1002	2639;4516;49;50;438;1251;1737
P01-1003	186;13011
P01-1004	389
P01-1005	409;846
P01-1006	419;5549
P01-1007	12993;783;1836;1739
P01-1008	451;5384
P01-1009	623
P01-1010	695
P01-1011	699;2164;4271;5925
P01-1012	15410;4350;7946
P01-1013	836;8059
P01-1014	936;5174;225;14848
P01-1015	965;14832;2192;6217;6573;7333;15397
P01-1016	1079;5797;618;7534;6835
P01-1017	1195
P01-1018	1296
P01-1019	1499;4561;2376
P01-1020	1525;2573;853
P01-1021	1882
P01-1022	1968;3350;2643;1604
P01-1023	1997;5384
P01-1024	2000;1781
P01-1025	2197;4366
P01-1026	2501;3623
P01-1027	13371;6051;5893;1068
P01-1028	2606;8138
P01-1029	2689;3849
P01-1030	2693;3682;4221;5174;9039
P01-1031	2734;1497
P01-1032	2879;6338;1955;6811
P01-1033	15389
P01-1034	2926;4561
P01-1035	13467;4362;4470;6120;14120
P01-1036	13468;7401
P01-1037	3104;15109;15152;5490;7917;12544;13347;7031;5641
P01-1038	3111;6707
P01-1039	3463;9415;6199
P01-1040	3561;6936
P01-1041	3634
P01-1042	3779
P01-1043	4159
P01-1044	4199;5147
P01-1045	13614;3312
P01-1046	4550;4019;5365
P01-1047	4603;6812
P01-1048	4875;14978;7946
P01-1049	4892;1366
P01-1050	5174
P01-1051	5482;5353
P01-1052	15109;7031
P01-1053	5709
P01-1054	6368
P01-1055	6405;8562;8906;6224;3935;7730
P01-1056	6707;6917;8643
P01-1057	6793;6889;4690;6168
P01-1058	7164;6900
P01-1059	7249;5139;1475
P01-1060	7263;6946
P01-1061	7301
P01-1062	7402;2218;4268
P01-1063	15258;836
P01-1064	8410;3615
P01-1065	8466
P01-1066	8643;6307;718
P01-1067	9039;4221
P01-1068	12439;3632;7084
P01-1069	9301;1658;3775
P01-1070	9411;3416
P02-1001	2083
P02-1002	2822
P02-1003	4271;7827
P02-1004	2573;6870;1525;5634
P02-1005	15109;15152;3104;7917
P02-1006	6742;14986
P02-1007	4411
P02-1008	2083
P02-1009	6368
P02-1010	7248
P02-1011	958
P02-1012	988;4707
P02-1013	2606
P02-1014	5900;1023
P02-1015	5848;7201
P02-1016	8048;5007;6990
P02-1017	4199;5147
P02-1018	3779
P02-1019	8259;5634
P02-1020	1422;2552;6451;8850
P02-1021	6218
P02-1022	1607;5325;734;7962
P02-1023	2585;9297
P02-1024	2585;2822;1011;4749
P02-1025	9011;1216;3723
P02-1026	2675;1195
P02-1027	5451;7794;8293;143
P02-1028	3857;3988;4454;7194
P02-1029	7302;839
P02-1030	1610;5576
P02-1031	2722;15155
P02-1032	6948;3204;2331
P02-1033	14891;6811
P02-1034	1464;2005
P02-1035	6857;4150;3921;1580;5314;3779
P02-1036	2666;3779
P02-1037	6881
P02-1038	6051;5893
P02-1039	9039;4221
P02-1040	6259;6990;8719;9373
P02-1041	385;4384
P02-1042	1404;3349;7764
P02-1043	3349;7764
P02-1044	4745;4749
P02-1045	13852;6723;7833
P02-1046	14749
P02-1047	5174;2048
P02-1048	3785;407;8505;12835;2073;8643;8826;5121
P02-1049	10021;6584;8643
P02-1050	3539;6811;15328;4270
P02-1051	112;4221
P02-1052	6611;877
P02-1053	8350
P02-1054	5075;5854;6595;8042
P02-1055	15410;896
P02-1056	1586;2439;4068;13853;14010;6490;14280;7537;8409;9005;499;4369
P02-1057	13209;5174
P02-1058	11923;14986
P02-1059	5991;5286
P02-1060	12482;7857
P02-1061	1307;5896
P02-1062	1464
P02-1063	5782;4404;5286
P02-1064	7185
P02-1065	1397
P03-1001	2370;14986;2048
P03-1002	7917;3104;8858;1
P03-1003	2048;5174
P03-1004	4404;5286
P03-1005	7931;3317;7182;5063
P03-1006	145;5587;6881
P03-1007	4310;6591
P03-1008	5963;5194
P03-1009	4310;4388;5248
P03-1010	8410;3615
P03-1011	2722
P03-1012	1281;4831
P03-1013	1996;4019
P03-1014	2439;499;1586;4068;14280
P03-1015	7248
P03-1016	8951;9357
P03-1017	12763;4550
P03-1018	8833
P03-1019	9264;5893
P03-1020	4873;3655;6990;3879
P03-1021	6051
P03-1022	7833;13852
P03-1023	9100;12482;7857;8024
P03-1024	1410;4159
P03-1025	4411
P03-1026	6368;5723
P03-1027	2829;4005;5775;6427
P03-1028	1307;5896;4655
P03-1029	7873;7370;2909
P03-1030	2235;1232;818
P03-1031	3294;5796;86
P03-1032	8663;1366;8706
P03-1033	4277;8378;3989;6116
P03-1034	988
P03-1035	2585;4766;3453
P03-1036	1567
P03-1037	3703
P03-1038	4104;6862;8313
P03-1039	8735;7894;6116
P03-1040	4247;4221
P03-1041	8536;8602;8631
P03-1042	1012;4749;4793
P03-1043	5966;4777;1894;7731
P03-1044	9108
P03-1045	493;2396
P03-1046	3349
P03-1047	5925;8138
P03-1048	6676;8130;7083;4510;673;6642;1112;4882;1974
P03-1049	14761
P03-1050	6917;5342;9101
P03-1051	4657;6259;6990;2122;3157
P03-1052	8038;3181;7993
P03-1053	7112
P03-1054	4199;5147
P03-1055	1875;1996
P03-1056	4732;5147
P03-1057	3586;7894;5286
P03-1058	5896;8657;1158
P03-1059	389;729
P03-1060	4613;6862;4820
P03-1061	8364;5976;9036;7370;3615
P03-1062	5211;6819;15410;1632;14983
P03-1063	6291;9274
P03-1064	7442;3812
P03-1065	4777;9305;5966;3745;7731
P03-1066	2585;7930
P03-1067	7301
P03-1068	2164;4336;12763;6478
P03-1069	4550
P03-1070	5797;6791;7802;1079
P03-1071	2564;5384;2407;3762
P03-2002	777
P03-2003	1081
P03-2004	2545
P03-2005	2974
P03-2006	3750
P03-2007	3903
P03-2008	5261
P03-2009	5488
P03-2010	7665
P03-2011	8298
P03-2012	8405
P03-2013	9071
P03-2015	2841;4131;5564;4281;8394
P03-2016	8038;9053;5780
P03-2017	2037;13910;9039
P03-2018	5210;7073
P03-2019	942;1989;4369;6490;14280;8409;9005
P03-2020	7194;7181
P03-2021	4714;11923;14986
P03-2022	314;6142;244
P03-2023	9035;3088;3633;6163;6113;8734
P03-2024	6746;779;1655;3615;3914;3350
P03-2025	7066;9172;8376
P03-2026	3667;8364;7089;7914;3615
P03-2027	4187;4454;5539;4277;3989;4067
P03-2028	3401;3403;8315;3634;7182;5063
P03-2029	9063;9167;3653
P03-2030	372;7188
P03-2031	200;4646;4617
P03-2032	4063;9049;3914;3615
P03-2033	9033;8071;5561;9178;8313
P03-2034	7282;9342
P03-2035	8003;3848;4342
P03-2036	9178;8252;8313
