A00-1001	4073
P06-1141	7653;8780
P06-1142	7772;8214;14546
P06-1143	8721
P06-1144	9415;2893;706;2650
P06-1145	10004;6531;12907;10173
P06-1146	2409;7921
P06-1147	14330;12696
P06-2001	3295;5496;2583;6629;8840
P06-2002	2836;832;10173;11539
P06-2003	2473;2679;5390;2858
P06-2004	5911;3100
P06-2005	15061;14825;14383;12725
P06-2006	13653;3322
P06-2007	580;6823;5490;7631
P06-2008	3326;14795;6975
P06-2009	1645;4120;11476
P06-2010	1994;14825;8439;8247
P06-2011	2115;2185
P06-2012	2259;15360;12958;9956
P06-2013	2369;14867;6557
P06-2014	2424;8332
P06-2015	5118
P06-2016	2719
P06-2017	2726;9546;7964;5099
P06-2018	2559;2444
P06-2019	2977;7921
P06-2020	3327;11875;10055
P06-2021	3573;13665;4281
P06-2022	3653;8290;2284;3487;9914;12547
P06-2023	4243;8537;14341;6289;13189
P06-2024	4335
P06-2025	4387;9735;7192
P06-2026	4575;14678;9938
P06-2027	4706;5893;9095
P06-2028	4724;10849;6443;12788
P06-2029	4853;9186
P06-2030	4997;12846
P06-2031	3362;2040
P06-2032	5125;10431
P06-2033	5165;3599
P06-2034	5192;9441
P06-2035	5281;8578
P06-2036	5288;11804;14803
P06-2037	2679;2858
P06-2038	5326;3440
P06-2039	5435;1913
P06-2040	5638;5774;12625;12387
P06-2041	5710;9966;9913
P06-2042	5726;13459;7096;6557
P06-2043	5755;14892;4957
P06-2044	5808;11066
P06-2045	5846;11725;10319;7530;3800
P06-2046	5860;11791;13542
P06-2047	6107
P06-2048	6220;7717
P06-2049	6225;14264
P06-2050	6267;6298
P06-2051	6427;14302
P06-2052	3398;5696;19;13235
P06-2053	6633;3630;5622;5628
P06-2054	6715;8016
P06-2055	6724;5511
P06-2056	6758;12981
P06-2057	6775;10029
P06-2058	6876;5085
P06-2059	6896;7383
P06-2060	6927
P06-2061	7191;14783;9837
P06-2062	7200
P06-2063	7304;3396
P06-2064	7307;6961
P06-2065	7440;9637;11096;14453
P06-2066	7715;9964
P06-2067	8227;13508
P06-2068	8345
P06-2069	8384;10259
P06-2070	8414;5288
P06-2071	8489;3701;4832
P06-2072	8863;9172
P06-2073	2895;5454;2507
P06-2074	8912;5360;2791
P06-2075	9313;3752;2312
P06-2076	9586;6950;12211;6557
P06-2077	9629;7099;9486;6591
P06-2078	9720;10173
P06-2079	9853;3833;5270
P06-2080	9862;12177;10632
P06-2081	10072;10024
P06-2082	10142
P06-2083	10164;4298
P06-2084	10500;11876
P06-2085	11281;8111
P06-2086	11451;4636
P06-2087	11523;13053;5339;5429
P06-2088	11571;8945;6503
P06-2089	11609;7970
P06-2090	11732;10867;4525
P06-2091	11786;8855;9356;13378
P06-2092	11924
P06-2093	11973;2581;5175
P06-2094	12028
P06-2095	12111;6291;5838
P06-2096	12133;11014;10451;4490
P06-2097	12159;7789
P06-2098	12187;5644
P06-2099	12216;10212
P06-2100	12322;5602;12238;10125
P06-2101	12382;4383
P06-2102	12411;3347
P06-2103	12478;8810
P06-2104	12855;5404
P06-2105	13033;3440
P06-2106	13235;12484;1860;15486;9408;12474;6298;2253;14678;3012;12216
P06-2107	3174;653
P06-2108	13334
P06-2109	13499;9917;9356;13382
P06-2110	13538;12835
P06-2111	3618;3169
P06-2112	13895;14325;8463
P06-2113	13954;3288;8674;8031
P06-2114	13994;14060;5078
P06-2115	14309;8529
P06-2116	14318;8043
P06-2117	14325;13895;8463
P06-2118	14432;2273;3471
P06-2119	14515;10869
P06-2120	14597;14316;14534
P06-2121	14693;14316;6667
P06-2122	14803;5288
P06-2123	14832;7227;12787
P06-2124	14874;14393
P06-2125	14932;8224
P06-3001	10771
P06-3002	10286
P06-3003	2573
P06-3004	8685
P06-3005	10400
P06-3006	12187
P06-3007	14333
P06-3008	14707
P06-3009	13345
P06-3010	12508
P06-3011	8502
P06-3012	9733
P06-3013	10404
P06-3014	8227
P06-3015	11530
P06-4001	2100;8385;1599
P06-4002	9422;5053
P06-4003	13096;8800;9774;9408;12474;15486
P06-4004	9753
P06-4005	10139;9356;9917;13398;14446;8921;12929;14639;5788;7273;13031;13376
P06-4006	9290
P06-4007	6065;13917;8089;5789
P06-4008	12457;2816;5751;8036;11296;8028
P06-4009	9021;3781
P06-4010	14560;13528
P06-4011	14327;1719;8385;1599
P06-4012	11014;4490;4549;6831;12133;12857
P06-4013	14253;9163;8393;11035;5364
P06-4014	8500;10094
P06-4015	8576;10793;11852;11041;5252;7675
P06-4016	14063
P06-4017	4986;12977;11936;9657
P06-4018	10658
P06-4019	10970;3338
P06-4020	13653;3322;14020
P07-1001	4004;5109
P07-1002	1411;13291
P07-1003	3927;7411
P07-1004	13475;5665;11759
P07-1005	1509;9843;2480
P07-1006	12508;12621;3829
P07-1007	1509;9843
P07-1008	13665;5785
P07-1009	2598;15551
P07-1010	10163;13381
P07-1011	12793;8446;3303;14916;14400;8031;1806
P07-1012	10967;7784
P07-1013	3980;11885;9386
P07-1014	9546;2726;7964;5099
P07-1015	14635;7285;12537
P07-1016	8214;12291;7772;4165
P07-1017	9302;13291;12841
P07-1018	6291;5838;12111;9538
P07-1019	6317;2480
P07-1020	7230;5666;6976
P07-1021	7715;9385
P07-1022	6787
P07-1023	6954
P07-1024	5288;13068
P07-1025	5404;12855
P07-1026	14825;1994;15061;12958;2316;8439;8247
P07-1027	8405;9843
P07-1028	4489
P07-1029	5367;4402
P07-1030	3843;11089;7551
P07-1031	13544;3719
P07-1032	2966;3719
P07-1033	2598
P07-1034	6734;1245
P07-1035	4736;5491;8780
P07-1036	1645;3501;11476
P07-1037	5876;3522;14027
P07-1038	1682;6434
P07-1039	8614;12681;14027
P07-1040	2036;8942;11969
P07-1041	4714;12683
P07-1042	5126;7590
P07-1043	7508;12654
P07-1044	9605;4218;13880;3781
P07-1045	4381;3858
P07-1046	11474;8401
P07-1047	8459;3326;6751
P07-1048	6798;3736;8172;11212
P07-1049	12004
P07-1050	3378
P07-1051	11448
P07-1052	11172;11089
P07-1053	5263;6539;12807
P07-1054	4511;11991
P07-1055	9071;5775;9839;14097;11232
P07-1056	11114;4221;3481
P07-1057	13768
P07-1058	12872;12221;3752
P07-1059	11283;13648;13358;9344;8458
P07-1060	8031
P07-1061	4692
P07-1062	4757;11332
P07-1063	2877;13862
P07-1064	8722;10394;7882;5321
P07-1065	12939;10237
P07-1066	12948;7890;11944
P07-1067	14540;12725
P07-1068	9853
P07-1069	2345;4026;7882
P07-1070	13882;14525;14380
P07-1071	3252;14114
P07-1072	2656
P07-1073	14591;9441
P07-1074	14403;13526;8220
P07-1075	8912;2791
P07-1076	11452;4637
P07-1077	5905
P07-1078	11172;11089
P07-1079	11611;9356;13381
P07-1080	13217;5995
P07-1081	7010;13439;11912
P07-1082	7010;11912;13439
P07-1083	9532;7528
P07-1084	9494;2588;12931;6880
P07-1085	8417;8457
P07-1086	6186
P07-1087	14925;12989;8215;9843;14892
P07-1088	4210;11909;4514
P07-1089	8453;6340;8435;8355
P07-1090	12070;6948;8214
P07-1091	8208;8237;14796;8239;14915;5546
P07-1092	3167;7921
P07-1093	6675
P07-1094	3367;5502
P07-1095	12393;13545;7839
P07-1096	12131;11804;6839
P07-1097	3805;8345
P07-1098	9512;10989;7938;8746
P07-1099	7452;9326;10043
P07-1100	12517;3878;14766;11976
P07-1101	2696;9402;1983;3386;14171
P07-1102	11203;9445
P07-1103	2871
P07-1104	5103;4577;6787;13291
P07-1105	9589;11055
P07-1106	14865;2966
P07-1107	5680;7411
P07-1108	14325;13895
P07-1109	12146;7528
P07-1110	2458;945
P07-1111	1682;6434
P07-1112	2888;14105
P07-1113	10330;10812;6901;12379
P07-1114	7617;4533
P07-1115	10893;13653;7560
P07-1116	3980
P07-1117	2492
P07-1118	3777;12309;10682
P07-1119	12146;7528
P07-1120	6197;11332
P07-1121	14285;9441
P07-1122	9913;9967;5710
P07-1123	9250;7203;3566
P07-1124	4035;12498
P07-1125	9129;13653
P07-1126	4021;9374
P07-1127	10326;12064;14254
P07-1128	6278;9445
P07-1129	14694;14316;1806;3396;8329
P07-1130	5613;2870;14787
P07-1131	6761;6926;11490
P07-2001	4191;10560;8751
P07-2002	4260;6880
P07-2003	10170;6485;9944;15037;7414
P07-2004	5125;10431
P07-2005	12028;10083
P07-2006	15270;11533;8144;9023;11469
P07-2007	12787;12189;9669
P07-2008	4533;7617
P07-2009	3719;2966;12354
P07-2010	12380;11542;7543;6002;8055;13866;14822
P07-2011	3058;7235
P07-2012	8008;3421
P07-2013	10813;12683
P07-2014	11084
P07-2015	4960;2835;3049
P07-2016	9985;1239;8016
P07-2017	14349;14528;8077
P07-2018	6298;12303;6269;3016
P07-2019	13956;6841;3506
P07-2020	12206;11767
P07-2021	12959
P07-2022	6681;3023
P07-2023	7690;8478;2185
P07-2024	10829;4510
P07-2025	15281;14305;2107;8429
P07-2026	4367;14783;9837
P07-2027	5607;10959;6867
P07-2028	10908;7543;8055;13866
P07-2029	261;12663;3269;11717
P07-2030	6073;4138;6585
P07-2031	9683;9582;4470;5284;5688;11616
P07-2032	14073;5613;9540
P07-2033	10939
P07-2034	14507;8347;2185
P07-2035	5862;7787
P07-2036	14469;6557
P07-2037	5916
P07-2038	6186
P07-2039	6298;12303;6269
P07-2040	6108;8958;7227
P07-2041	11499;11538;8835;13489;8739
P07-2042	13221
P07-2043	14167
P07-2044	1356;13926;6867
P07-2045	7473;6142;10635;15467;4623;9819;3624;12134;9452;14783;1508;2519;3340;6025
P07-2046	14832;12787
P07-2047	8431;8263;14334;8536
P07-2048	13005;7700;10100
P07-2049	5607;9798;6867
P07-2050	13364;10961;13842;9651
P07-2051	7428
P07-2052	7094;13459
P07-2053	2716;2795;10222
P07-2054	3647;2886
P07-2055	9654;13459
P07-2056	3802;11762;7964
P07-2057	6501;7227;14572
P07-3001	11713
P07-3002	10812
P07-3003	3309
P07-3004	2928
P07-3005	9560
P07-3006	9744
P07-3007	14733
P07-3008	3634
P07-3009	6775
P07-3010	11861
P07-3011	3022
P07-3012	11854
P07-3013	2454
P07-3014	10032
P07-3015	9127
P07-3016	5042;5981
P08-1001	778;11915
P08-1002	9532;8332;15509
P08-1003	3463;3602
P08-1004	7266;4514
P08-1005	2859
P08-1006	9356;3064;11611;8970;13381
P08-1007	1509;9843
P08-1008	13796
P08-1009	2423
P08-1010	4004;14406;5109
P08-1011	14796;8239;15374;8208;14916
P08-1012	14803;11001;9447;5288
P08-1013	193;679
P08-1014	15137;1102;15353;15015
P08-1015	4782;11509
P08-1016	4780
P08-1017	15409
P08-1018	116;11342;9884
P08-1019	15370;129;1806;1231
P08-1020	2876;13862
P08-1021	8031;12042
P08-1022	15400;14123;462
P08-1023	476;6317;8435
P08-1024	11309;3167;10237
P08-1025	14803;5288
P08-1026	7510;768;13118
P08-1027	3843;11089
P08-1028	492;7921
P08-1029	15051;9714;3155
P08-1030	6724;5511
P08-1031	2345;15230;4381;7882
P08-1032	15421;7921
P08-1033	3157
P08-1034	4494;9488
P08-1035	9994
P08-1036	13218;9071
P08-1037	11206;6961;8891
P08-1038	6263;6901
P08-1039	13544;3719
P08-1040	13732;7511
P08-1041	269;1924;1270
P08-1042	4058
P08-1043	5367;13345
P08-1044	3367;6867;8780
P08-1045	6026;7440;2598
P08-1046	6785
P08-1047	3406;13282
P08-1048	204;985
P08-1049	378;14563
P08-1050	8227;13508
P08-1051	9536;3563;5028
P08-1052	3454;5948
P08-1053	10195;10065
P08-1054	10537;14941
P08-1055	10784;13862
P08-1056	833;494;11762
P08-1057	11942;6446;866;11885
P08-1058	12939;13185
P08-1059	13291;12841;822
P08-1060	13665;5785;343
P08-1061	13919;11960;8332
P08-1062	14517;170;1277;364;8416
P08-1063	3250;11206;2858
P08-1064	14825;138;15061;8214;12958;8247
P08-1065	15096;7528;2423
P08-1066	12131;14407;14085
P08-1067	6317
P08-1068	7540;479;3241
P08-1069	9811;11804;12160
P08-1070	4231;7557;9876
P08-1071	13637;8401
P08-1072	312;167;8016
P08-1073	11282;8111
P08-1074	2919;3087;15375
P08-1075	14942;1576;738;600
P08-1076	12842;6585
P08-1077	10035;11117
P08-1078	12872;3752;7324;15513
P08-1079	3843;11089
P08-1080	6889;5948;8525
P08-1081	15344;3302;1806;14943
P08-1082	12820;2857;14757
P08-1083	8977;5367;5039;4402
P08-1084	12414;7882
P08-1085	5367;8977;4402
P08-1086	1063;13185
P08-1087	15060;7473
P08-1088	5680;8287;15120;7411
P08-1089	14890;13895;8439;8247
P08-1090	1356;6867
P08-1091	3347;9512;10689
P08-1092	15129;3386;4708
P08-1093	9142;1245
P08-1094	9799;381
P08-1095	4429;1836
P08-1096	14540;12725;290;12958;8439;8247
P08-1097	4381;7882;3858
P08-1098	11172;13241;5685;11089
P08-1099	8774;9030
P08-1100	8287;7411
P08-1101	14865;2966
P08-1102	142;6314;8435;3417
P08-1103	6728;2423;7528
P08-1104	15091;15370;1269;1189;129;1231
P08-1105	1145;3262
P08-1106	3690;9250
P08-1107	15393;10064;554
P08-1108	9967;9071
P08-1109	4736;231;8780
P08-1110	2660;3322;3560
P08-1111	9119
P08-1112	5091;3370;13024
P08-1113	8332;14888;3602;3463
P08-1114	436;11221
P08-1115	1508;9589;11221
P08-1116	14890;9953;14916;8439;8247
P08-1117	942;11172;11689;11089;11476
P08-1118	3261;740;8780
P08-1119	7604;11295;3396
P08-2001	15097;8737;1044
P08-2002	15152;5702;235;13646
P08-2003	1333;6846
P08-2004	15232
P08-2005	15244;15022;8875;965
P08-2006	15251;5780
P08-2007	3927;7411
P08-2008	4119;3471
P08-2009	4221;1118
P08-2010	4272;7359
P08-2011	4429;1836
P08-2012	4736;8780
P08-2013	5232;14267;9445
P08-2014	15519;11476
P08-2015	5648
P08-2016	15555;190;670
P08-2017	5664;11311;12053;505;9040
P08-2018	5862;7787
P08-2019	5997;8111
P08-2020	6079;11481;9972;15465;6052;6342;13783
P08-2021	7000;4383;7204;4229
P08-2022	7742;2349
P08-2023	8262;1252;1147;71;8535
P08-2024	8406;352
P08-2025	370;11043
P08-2026	9042;1836
P08-2027	481;11939
P08-2028	502;10948
P08-2029	9512;10988
P08-2030	815;11055;5648;3347;11525
P08-2031	981;14188
P08-2032	13364;50;9651
P08-2033	13877;2984
P08-2034	14374;1127;14276;1193
P08-2035	1206;9785
P08-2036	14712
P08-2037	10408;15207
P08-2038	14399;14825;15061;8214
P08-2039	15070;1237;5321
P08-2040	2071;14825;15061;8214
P08-2041	47;8435;8355
P08-2042	1073;7204;15379
P08-2043	9799;2696;3386
P08-2044	456;15484
P08-2045	9990;8875
P08-2046	2460;2482;3004;3520
P08-2047	7074;9543
P08-2048	791;7557;14854
P08-2049	7620;8868;667
P08-2050	9045;5165
P08-2051	8417;8457
P08-2052	11869;245
P08-2053	5040;7737
P08-2054	9602;9197
P08-2055	8339;14107
P08-2056	4847;13822;2443
P08-2057	11074;7230;2401
P08-2058	217;313;894;7257;12049
P08-2059	4221;3638
P08-2060	5367;4402
P08-2061	9895;13987;8875;3471
P08-2062	768;4356;7510
P08-2063	14081
P08-2064	2837;10425;681
P08-2065	358;14972
P08-2066	13317;9051
P08-2067	15393;8345;10064
P08-2068	972;356;389;14343
P08-3001	5682
P08-3002	15085
P08-3003	15385
P08-3004	336
P08-3005	973;15238;346
P08-3006	4838
P08-3007	28
P08-3008	213
P08-3009	3432
P08-3010	2916
P08-3011	13317
P08-3012	14862
P08-4001	14188
P08-4002	12259;3399
P08-4003	13721;10813;10760;15385;136;3128;14540;9512
P08-4004	10049
P08-4005	6364;11527
P08-4006	5249
P08-4007	181;15223;6841;3506
P08-4008	14565;15538;10546;15184;15279;347;547;701
P08-4009	6889
P08-5001	5044;163;10354
P08-5002	11115;293;10832;4496
P08-5003	11112;14942
P08-5004	3638
P08-5005	10677
P08-5006	3237;10537;15199
P09-1001	2277;1422;2263;1461;1231
P09-1002	4489;9036;1559
P09-1003	1854;10164;13381
P09-1004	15006;11172;11089
P09-1005	15158;462;13508
P09-1006	9957;13895;14325
P09-1007	14877;12455;7384;2320
P09-1008	1426;10537
P09-1009	12414;558;7882
P09-1010	2345;15230;14788;7882
P09-1011	8287;6828;7411
P09-1012	9367;1202;2173
P09-1013	10075;12536
P09-1014	1497;9532;6728;7528
P09-1015	1506;7528
P09-1016	1980;8214;1803
P09-1017	155;3785
P09-1018	14325;13895
P09-1019	7755;8631;1508;10077
P09-1020	2299;14825;8214;15061;12958
P09-1021	5665;11759
P09-1022	10268
P09-1023	14585;2791;2849
P09-1024	2057;7882
P09-1025	1863;7921
P09-1026	12439;3566
P09-1027	13882
P09-1028	1794;14849;2096
P09-1029	1711;8230;8034
P09-1030	1855;12423;4514;3222;2103;10544
P09-1031	14522;2349
P09-1032	1341;8771
P09-1033	9197;3617
P09-1034	2411;5075;6867;8780
P09-1035	2473;2679;5390;13704
P09-1036	14399;14825;15061;8214
P09-1037	12071;6948;8214;11221
P09-1038	2293;4313;30
P09-1039	1851;12393;14393
P09-1040	9967
P09-1041	1498;8774;9030
P09-1042	5091;1570;13024
P09-1043	14854;13924
P09-1044	14517;170;364
P09-1045	9086;3719
P09-1046	2289;11269;5721;8952
P09-1047	1641;13048;2106;1537;1569
P09-1048	1972;9095;1455;3347;5511;3374;5819;6722;8612;9227;2124;2129;13420;14417;2274
P09-1049	10121;13459;13282
P09-1050	13921;3155
P09-1051	12221;1328;3752
P09-1052	2300;2324;2086;2228
P09-1053	15309;12393
P09-1054	13397;13381;4299
P09-1055	13291;2423
P09-1056	6306;14579
P09-1057	756;7440
P09-1058	7667;13459;3407;2218;13282;6555
P09-1059	142;6315;8435
P09-1060	10132;9585;8945
P09-1061	1672;8457
P09-1062	14941;10537;11531
P09-1063	8453;3414;8435
P09-1064	3927;2480;7440
P09-1065	8453;476;1530;8435
P09-1066	8239;15374;14796;8208;14916
P09-1067	378;4383;7204
P09-1068	1356;6867
P09-1069	5192;9441
P09-1070	771;3463
P09-1071	14521;8019
P09-1072	1409;1425;1885;1680
P09-1073	6479;6526;8952
P09-1074	12661;1568;241;11295
P09-1075	2335;713
P09-1076	14035
P09-1077	694;381;9799
P09-1078	359;2251;14972;6300
P09-1079	3833;9853
P09-1080	5133;14563
P09-1081	1399;1021;79
P09-1082	9613;5613
P09-1083	342;2147;6319;14943
P09-1084	4770;6707;4896
P09-1085	1967;1774;5028
P09-1086	9569;10537;14941
P09-1087	5075;8780
P09-1088	11309;3167;1508;10237
P09-1089	9312;12509;30;3752;4313;12872
P09-1090	746;1434;1567;10125
P09-1091	5939;13895;5599;8439
P09-1092	15216;2027
P09-1093	6109;12842;6585
P09-1094	14890;1762;8439;8247
P09-1095	1977;9853
P09-1096	1741;1918;4596;1402;12742
P09-1097	8786;8266
P09-1098	141;2279;14916;8446;2326
P09-1099	4851;1572;1726
P09-1100	13637;8401
P09-1101	9246
P09-1102	976;10164;13381
P09-1103	2130;14825;12958
P09-1104	5680;11113;3927;7411
P09-1105	6305
P09-1106	2071;14825;8214;15061
P09-1107	8208;5940;1810;2250
P09-1108	10475;7411
P09-1109	5786;12182;1952;8952
P09-1110	14788;3241
P09-1111	2660;11804
P09-1112	6916;11804
P09-1113	1881;1363;12412;6867
P09-1114	6733
P09-1115	2275;10164;8961;2281;6578
P09-1116	8332;2246
P09-1117	13241;5685
P09-1118	12458;315;11296
P09-1119	1145;7119;3262
P09-1120	1230;1714
P09-1121	5106;11113;14916;14276
P09-2001	3151;12393
P09-2002	1952;5786;12182;8952
P09-2003	6916;8685;10429
P09-2004	694;9799
P09-2005	167;312;7286;8016
P09-2006	7825
P09-2007	8406;2155;1757;1440;14340
P09-2008	1432;8012;315;2122;13376;11296
P09-2009	2046;1471;12108;6908
P09-2010	2456;7719;12531
P09-2011	7072;8945
P09-2012	1987;5288
P09-2013	11779;7787
P09-2014	2965;3719
P09-2015	11476;11689;3554
P09-2016	1658;2141;6896;2163;7383
P09-2017	1738;8746
P09-2018	1742;3752;12872;2312
P09-2019	3250;11206;2858
P09-2020	2158;1377;12880
P09-2021	1777;8016
P09-2022	6501;11646;1668
P09-2023	7516;11527
P09-2024	1793;8746
P09-2025	15216
P09-2026	15223;1595;12393;3506
P09-2027	1692;1074
P09-2028	2692;11935
P09-2029	1956;8262;8535
P09-2030	1149;8262;45
P09-2031	48;9179;3414;14677;8435
P09-2032	138;14537;14892;8247;1122
P09-2033	1260;2217;2264
P09-2034	11084
P09-2035	2257;2262;476;8453;8435
P09-2036	3927;10475;7411
P09-2037	3276;1986
P09-2038	1472;7192
P09-2039	2278;7454
P09-2040	2488;1368;2925;2894
P09-2041	1383;6961
P09-2042	2000;1552;6333
P09-2043	1880;10402
P09-2044	1549;12683
P09-2045	1868;13897
P09-2046	1997;2136
P09-2047	2298;2131;1638;1647;2791
P09-2048	7514;1835;2172;11779
P09-2049	1436;1855;4514
P09-2050	2213;1814;6733;2303;1866
P09-2051	14695;1405;14316;1804
P09-2052	9719;2138;1959;1728;1660;12935
P09-2053	2735;2859;11876
P09-2054	1214;14892;8535;14897;14679
P09-2055	3201;14622
P09-2056	5648;815
P09-2057	13202
P09-2058	4004;14905
P09-2059	63;1775;11296
P09-2060	14535;14899
P09-2061	1934;2056;12870;1937
P09-2062	10285;2727;9546
P09-2063	15243;1768
P09-2064	974;961;2211
P09-2065	1483;2175
P09-2066	361;8457
P09-2068	8180
P09-2069	3516;2664;3090
P09-2070	481;1930;11939
P09-2071	6715;1806;8016
P09-2072	1639;1636;1408;1805
P09-2073	1865
P09-2074	2598
P09-2075	2209;2327;1794;1577
P09-2076	7509;12675;15161;758;3781;1466;9445;10072
P09-2077	15085
P09-2078	9250;12666
P09-2079	6841;3506
P09-2080	2242;12959;2556
P09-2081	2110;315;11296
P09-2082	1878;1462;1984
P09-2083	1333;1617;6845
P09-2084	8612;9095
P09-2085	11309;3167;3368;6785
P09-2086	14007;13384;6585
P09-2087	14712;1360
P09-2088	9447;11001
P09-2089	9523;5511
P09-2090	11822;15392;5133;1299;2261;10063;14563;10664
P09-2091	5594;5390;2473
P09-2092	2017;1739;1960
P09-2093	1596;6721
P09-3001	2088
P09-3002	3426;1414;10062
P09-3003	13955
P09-3004	8714
P09-3005	1518
P09-3006	1856
P09-3007	1226;2024;13942
P09-3008	1430;1643
P09-3009	1951
P09-3010	1398
P09-3011	1415;6282;13897
P09-3012	1560
P09-4001	15469;7094;1691;9653;6527;7788;1707
P09-4002	2528;15282;1531;433;603;3117;908
P09-4003	1514;9095
P09-4004	5179;13724
P09-4005	7473
P09-4006	1773;15061;1107;1832;14825;8214
P09-4007	378;15466;1508;15462;7204;884;2154;2221;2291
P09-4008	1749;2776;1474;1312;1481
P09-4009	639;3280
P09-4010	813;4888
P09-4011	13635;10988;11248;1664;2030
P09-5001	6300;8535
P09-5002	7440;7473
P09-5003	2858
P09-5004	2995
P09-5005	8215
P09-5006	10814;10763
P79-1001	7110
P79-1002	208
P79-1003	12368
P79-1004	4380
P79-1005	3504
P79-1006	7816;12447
P79-1007	12105
P79-1008	6839
P79-1009	12983
P79-1010	12501
P79-1011	11726
P79-1012	9442;8778
P79-1013	14947
P79-1014	7997
P79-1015	11348
P79-1016	9096
P79-1017	12102
P79-1018	12269
P79-1019	8176;6422
P79-1020	8778
P79-1021	3437
P79-1022	5924
P79-1023	13069
P79-1024	12287;9429;4303
P79-1025	5511
P79-1026	2880
P79-1027	14043;8778
P79-1028	4744
P80-1001	6038
P80-1002	13875
P80-1003	11686
P80-1004	208
P80-1005	12349
P80-1006	5529
P80-1007	1273
P80-1008	3144
P80-1009	6839
P80-1010	8375;3364
P80-1011	13000
P80-1012	6839;8182
P80-1013	7533
P80-1014	9867
P80-1015	9067
P80-1016	5008
P80-1017	6144
P80-1018	281
P80-1019	5922
P80-1020	6088;6784;11009
P80-1021	11851
P80-1022	13151
P80-1023	14359
P80-1024	8886
P80-1025	14086;10862
P80-1026	5922;9529
P80-1027	3846;6993
P80-1028	2832
P80-1029	4683;12635
P80-1030	14172;5205
P80-1031	7138;14290
P80-1032	14036
P80-1033	5828
P80-1034	6009
P80-1035	9988
P80-1036	12222
P80-1037	13438
P80-1038	12301
P80-1039	8909;9241;7709
P80-1040	11189;12145;13444
P80-1041	8397
P80-1042	12013;12985
P80-1043	13138;1680;435
P80-1044	12362
P81-1001	12359
P81-1002	9867
P81-1003	11566
P81-1004	9667;9810
P81-1005	8549
P81-1006	12447
P81-1007	3676
P81-1008	8778
P81-1009	10616
P81-1010	13077
P81-1011	13164
P81-1012	8778
P81-1013	8974
P81-1014	9069
P81-1015	11178
P81-1016	3149
P81-1017	3437
P81-1018	4912
P81-1019	4368
P81-1020	11348
P81-1021	11383;14036
P81-1022	5511
P81-1023	6991
P81-1024	11280
P81-1025	9456
P81-1026	7865
P81-1027	4537
P81-1028	9448
P81-1029	3472
P81-1030	4239
P81-1031	6993;3846
P81-1032	208;5922
P81-1033	5922
P81-1034	8051;6513
P81-1035	6009;8196
P81-1036	13170
P82-1001	11456;12161
P82-1002	96
P82-1003	9453
P82-1004	3437;4941
P82-1005	3141;4697;12577
P82-1006	5377
P82-1007	9448
P82-1008	5530
P82-1009	10616
P82-1010	11828
P82-1011	12249
P82-1012	13990
P82-1013	11686;8680
P82-1014	5181;7331;7877;8488;10476;10943;11607;13996
P82-1015	5965
P82-1016	14086;12447
P82-1017	13850
P82-1018	14617
P82-1019	5924
P82-1020	8091
P82-1021	13850
P82-1022	12301
P82-1023	6839
P82-1024	1779
P82-1025	3504
P82-1026	12447
P82-1027	5006
P82-1028	9096
P82-1029	9052
P82-1030	3304;9069
P82-1031	12105;9763
P82-1032	7912
P82-1033	8813
P82-1034	11383
P82-1035	5456
P82-1036	7656;6095
P82-1037	7815
P82-1038	9273
P82-1039	13168
P83-1001	10944
P83-1002	6839
P83-1003	13170
P83-1004	12161;12706;13530;11348
P83-1005	6586
P83-1006	9016
P83-1007	5529;6839;14077
P83-1008	13991
P83-1009	6144
P83-1010	6124
P83-1011	5006
P83-1012	8778
P83-1013	10681
P83-1014	2832
P83-1015	10571
P83-1016	13530
P83-1017	12161
P83-1018	9867;3556
P83-1019	6092
P83-1020	8813;6092;4779
P83-1021	3478;13990
P83-1022	7734
P83-1023	13077;11466;11603;13165;9269
P83-1024	2557
P83-1025	208
P84-1001	4416
P84-1002	3355;8093;9069
P84-1003	2846
P84-1004	1940
P84-1005	4976
P84-1006	9867
P84-1007	7900;7915
P84-1008	7028
P84-1009	13104
P84-1010	5507
P84-1011	11668;11799;6567
P84-1012	3387
P84-1013	7083
P84-1014	5668
P84-1015	3005
P84-1016	11082;12105
P84-1017	12301
P84-1018	7110
P84-1019	12277
P84-1020	10951
P84-1021	12100;3092
P84-1022	12349
P84-1023	5511;9869;8864;6116
P84-1024	12448;14086;11383
P84-1025	10520;11933
P84-1026	10945
P84-1027	3479;12162
P84-1028	14630
P84-1029	6839;14036;14086
P84-1030	11070;14086
P84-1031	11182
P84-1032	11906
P84-1033	6475
P84-1034	9950;10158;6891;6068;6562
P84-1035	14644
P84-1036	15491
P84-1037	13182
P84-1038	7569
P84-1039	12506
P84-1040	8051
P84-1041	208
P84-1042	4789
P84-1043	9095
P84-1044	12493
P84-1045	168
P84-1046	3143
P84-1047	5922
P84-1048	9931;4188
P84-1049	14543;9931;4188
P84-1050	6796;11461
P84-1051	7963
P84-1052	552;4919
P84-1053	6330
P84-1054	11933
P84-1055	3149
P84-1056	13653;11618
P84-1057	13373;9662;9622
P84-1058	5525
P84-1059	6145
P84-1060	12506;12890
P84-1061	2711;6138
P84-1062	11274
P84-1063	8402;3437
P84-1064	14727
P84-1065	4018;9095
P84-1066	11321
P84-1067	6416;13698
P84-1068	14369;5364;12100
P84-1069	9662;13373;9622
P84-1070	6789
