Hathaway, Chris 2.5477665323536e-05
Abuleil, Saleem 5.33113712162808e-05
Goldberg, Miriam 4.26008114292715e-05
Sokolova, Lena 3.12866634512221e-05
Amtrup, Jan W. 3.03882730866754e-05
Chou, Lin-Yi 1.98712782087118e-05
Mela, Augusta 1.98712782087118e-05
Nelson, Andrew L. 1.98712782087118e-05
Kim, Yoonkwan 1.98712782087118e-05
Kato, Naoto 2.79775162421503e-05
Yeh, Ching-Long 8.06758346381048e-05
Sasaki, Yutaka 0.000103220151166036
August, Stephanie E. 1.98712782087118e-05
Klein, Dan 0.00133704128350126
Horvath, Veronika 4.13747647004654e-05
Childs, Lois C. 2.84541559290161e-05
Asadi, Ayman 5.85727860530869e-05
Su, Ying-Shan 6.07406171395101e-05
Read, Walter 5.66877053663525e-05
Ruggenmann, Klaus 2.07216880504642e-05
Balcom, Laura Blumer 4.19833705140665e-05
Genereux, Michel 1.98712782087118e-05
Dowdall, James 5.50170125020417e-05
Chen, Yuquan 3.24430796590207e-05
Andreyev, Slava 6.2478753314353e-05
Belenko, Dmitriy 1.98712782087118e-05
Popescu, Ana-Maria 0.000144082847078014
Frey, David 1.98712782087118e-05
Carvalho, Paula 1.98712782087118e-05
Gorin, Allen L. 0.000128513256444272
Rogers, Alex 3.96957198765823e-05
Hayes, Jer 1.98712782087118e-05
Luk, Alpha K. 0.000110921338075065
Horiguchi, Keiko 6.92288713509717e-05
Nakano, Mikio 8.77458044077284e-05
Nakatsu, Crystal 3.26924097344683e-05
Vassiliou, Marina 2.26209885555483e-05
Bertran, Manuel 1.98712782087118e-05
Falkedal, Kirsten 0.000180897900443981
Kucera, Ondrej 3.42854366801154e-05
Liu, Jianyi 1.98712782087118e-05
Muresan, Smaranda 0.00010283985902421
Becker, Tilman 0.000198435296896007
Korkmaz, Emin Erkan 2.22322111592215e-05
Eckert, Miriam 3.25013117396061e-05
Rydin, Sara 1.98712782087118e-05
Tsovaltzi, Dimitra 2.5143453271878e-05
Van Breugel, Camiel 2.18016457218329e-05
Minkov, Einat 0.000100439968727198
Klappholz, David 1.98712782087118e-05
Garza, E. Gabriela 1.98712782087118e-05
Ristad, Eric Sven 0.000221051600045228
Roussarie, Laurent 3.04760049095257e-05
Sanchez-Graillet, Olivia 2.00405953999618e-05
Suktarachan, Mukda 3.24430796590207e-05
Aist, Gregory 9.91087685723879e-05
Funakoshi, Kotaro 1.98712782087118e-05
Choudhury, Monojit 2.99697580480551e-05
Kupsc, Anna 2.46795523933796e-05
Sch‰fer, Ulrich 1.98712782087118e-05
Ipeirotis, Panagiotis 2.89576960190966e-05
Gonzalez, Hector 3.17550105713606e-05
Cussens, James 1.98712782087118e-05
Monroe, Burt L. 3.51221667473238e-05
Oakes, Michael 2.34360443028931e-05
Arun, Abhishek 6.17567259219109e-05
Russell, Jeffrey 1.98712782087118e-05
Paik, Kyonghee 4.59167153565708e-05
Garcia-Varea, Ismael 5.76340765187973e-05
Daya, Ezra 3.33866547351625e-05
Raghunathan, Badri 2.35241554326212e-05
Krauwer, Steven 0.0001889535552342
Lyding, Verena 2.60386693427751e-05
Spackman, Stephen P. 0.000129457572933821
Liddy, Elizabeth D. 0.00025218275165604
Marinelli, Rita 2.93718924009283e-05
Cordier, D. 2.29037736801104e-05
Wilcock, Graham 8.55383921981731e-05
Platek, Martin 4.36298841295466e-05
Schutze, Carson T. 1.98712782087118e-05
Reichman, Rachel 1.98712782087118e-05
Shoshani, Arie 3.34109246470409e-05
Sutinen, Erkki 1.98712782087118e-05
Cottrell, Garrison W. 2.81331304536442e-05
Bresnan, Joan 3.60725311015254e-05
Takeo, Honda 0.000104838846607406
Ramakrishnan, Ganesh 2.46988181036197e-05
Soon, Wee Meng 0.000285700712481359
Hull, Richard 3.10007054172889e-05
Zhang, Zhu 9.05641174158803e-05
Zajac, Mini 8.11044160284541e-05
Ambati, Vamshi 1.98712782087118e-05
Solan, Zach 1.98712782087118e-05
I., Aduriz 1.98712782087118e-05
Bear, John 0.00157914632930904
Miltsakaki, Eleni 0.000159820932967684
Cavazza, Marc 1.98712782087118e-05
Pautler, David 1.98712782087118e-05
Gahl, Susanne 0.000440184160036855
Fernandez, Ana 1.98712782087118e-05
Maskey, Sameer 3.72465567133155e-05
Cheung, Lawrence Y. L. 1.98712782087118e-05
Maosong, Sun 0.00012903486385207
Wang, Shan 3.90073537286497e-05
Paris, Inalco 1.98712782087118e-05
Zorn, Hans-Peter 8.11584966176232e-05
Fresno, Victor 1.98712782087118e-05
Gooskens, Charlotte 3.40519653112442e-05
Kim, Myunghee 0.000125945206913282
Griffiths, Thomas L. 0.000164749955967331
Zhao, Ying 1.98712782087118e-05
Gupta, Anurag 1.98712782087118e-05
Lloberas, Agusti 6.06585721773812e-05
Bauer, Travis L. 2.16622924526368e-05
Thomson, Blaise 0.000101511246465145
Lee, Donghyeon 1.98712782087118e-05
Trujillo, Arturo 2.17337673124613e-05
Hale, John 0.000433410003036458
Harris, Mary Dee 9.13196643957759e-05
Bojar, Ond≈ôej 1.98712782087118e-05
Giampiccolo, Danilo 7.16223288225823e-05
Yates, D. M. 0.000183324643959117
Carbone, Marco 1.98712782087118e-05
Kussner, Uwe 5.90008870956513e-05
Carvey, Hannah 0.000161741519841485
Mitkov, Ruslan 0.000376556576150382
Ritzke, Johannes 5.17280431715922e-05
Gao, Qin 1.98712782087118e-05
Liu, Chuan 1.98712782087118e-05
Weinstein, Scott 0.00154215690959492
Abe, Yasunori 1.98712782087118e-05
Lin, Tsuey-Fen 1.98712782087118e-05
Allen, James F. 0.0012250419764495
Xu, Feiyu 0.000117076232023678
Towell, Geoffrey 0.00028627028655977
Garay-Vitoria, Nestor 3.07399713710956e-05
Carter, Richard 1.98712782087118e-05
Jin, Youbing 2.16705615311917e-05
Litman, Diane J. 0.00176768467620803
Yoshii, Rika 5.34178713157386e-05
Pekar, Viktor 4.12313930093002e-05
Kiryakov, Atanas 2.07993996149026e-05
Konrad, Karsten 3.05783721770253e-05
Banko, Michele 0.000512825655192412
Llopis, Fernando 1.98904791273072e-05
Hana, Jiri 3.12866634512221e-05
Han, Benjamin 4.08645139707956e-05
Hafner, Carole D. 1.98712782087118e-05
Eineborg, Martin 0.000130280315272434
Hein, Cheryl 1.98712782087118e-05
Miemietz, Barbel 1.98712782087118e-05
Mitra, Pabitra 1.98712782087118e-05
Ragheb, Ahmed 1.98712782087118e-05
Horacek, Helmut 0.000211734406165789
Apidianaki, Marianna 1.98712782087118e-05
Genet, Franck 3.88461670647487e-05
Si, Luo 4.02198736174695e-05
Weissenbacher, Davy 2.07010688050407e-05
Arifin, S. M. Niaz 1.98712782087118e-05
Kubon, Petr 3.20773864041907e-05
Huang, Xuedong 0.000397860422338944
Boytcheva, Svetla 1.98712782087118e-05
Braslavski, Pavel 1.98712782087118e-05
Heyl, Andrea 4.55982188073558e-05
Nakazato, Shu 3.4196320105412e-05
Kiyota, Yoji 4.44854693753382e-05
Law, Hubert Hin-Cheung 3.00945013661059e-05
Metzing, Dieter 3.39206737602599e-05
Rakhilina, Ekaterina V. 5.44166275064661e-05
Nichols, Carol 1.98712782087118e-05
Wilensky, Robert 0.000278005829346163
Fersoe, Hanne 1.98712782087118e-05
Liu, Yi 5.73424395291713e-05
Kojima, Hiroyuki 1.98712782087118e-05
Bengio, Samy 2.84535356657524e-05
Lee, Dongwon 1.98712782087118e-05
Mahajan, Milind 1.98712782087118e-05
Mih·ltz, M·rton 1.98712782087118e-05
Fredj, Mounia 3.08472982946416e-05
Van Munster, Elly 1.98712782087118e-05
Janssen, Wil 2.35100176479139e-05
Shagina, Lyudmila 1.98712782087118e-05
Kimura, Kenji 1.98712782087118e-05
Cormack, G. V. 1.98712782087118e-05
Qin, Lu 1.98712782087118e-05
Takeuchi, Koichi 6.58592600491643e-05
Jurafsky, Dan 4.92141930813352e-05
Mark, Kevin 9.63885960177819e-05
Lorand, David 1.98712782087118e-05
Dwiggins, Don 2.99287193689589e-05
Leybold, Matthias 5.49301089018598e-05
Pereira, Fernando C. N. 0.00477607646552384
Yallop, Jeremy 3.35568487753221e-05
Ferraro, Kathleen 1.98712782087118e-05
Yang, Yongsheng 4.27022935490806e-05
Ushioda, Akira 0.000210916357427434
Jackson, Eric 0.000369767494514036
Panton, Kathy 1.98712782087118e-05
Barr, Valerie 2.25949376634906e-05
Williams, Robert 0.000245965208537403
Surana, Harshit 2.51007854329528e-05
Fujiki, Toshiaki 2.28730123376148e-05
Bao, Sencheng 1.98712782087118e-05
DOI, Shinichi 1.98712782087118e-05
Popat, Ashok C. 0.000123608376187826
Bansal, Mohit 1.98712782087118e-05
Xu, Kui 2.35241554326212e-05
Uytvanck, Dieter van 1.98712782087118e-05
Bach, Nguyen 1.98712782087118e-05
Iwahashi, Naoto 1.98712782087118e-05
Velardi, Roma 1.98712782087118e-05
Farreres, Javier 1.98712782087118e-05
Kuan, Pek 1.98712782087118e-05
Dolan, William B. 0.000480696476823371
Le Nir, Yannick 6.77715095711439e-05
Haffner, Patrick 1.98712782087118e-05
Zaragoza, Hugo 1.98712782087118e-05
Noamany, Mohamed 1.98712782087118e-05
Ahn, David 9.09389535319784e-05
Jovicic, Slobodan 4.6487589838877e-05
Giuglea, Ana-Maria 9.94410206321597e-05
Vuckovic, Kristina 1.98712782087118e-05
Aikawa, Takako 5.44960586338686e-05
Resnik, Philip 0.00198581705944781
Xiong, Zhongyang 1.98712782087118e-05
Zhang, Hu 1.98712782087118e-05
Pozar, Michael 3.29150017665672e-05
Alegre, Martha A. 4.34403681879956e-05
Ikeda, Daisuke 1.98712782087118e-05
Song, Zhiyi 1.98712782087118e-05
Elliott, John 4.0210513041043e-05
Pan, Yue 4.51085221135894e-05
Joseph, Mark 1.98712782087118e-05
Bryant, Barrett R. 1.98712782087118e-05
Gelain, Blandine 1.98712782087118e-05
Piccolino Boniforti, Marco Aldo 1.98712782087118e-05
Abe, Yoshiharu 3.67468366555076e-05
Chen, Yu 3.49283969021653e-05
Castell, Nuria 1.98712782087118e-05
Cai, Qingsheng 1.98712782087118e-05
Bergler, Sabine 0.000548842720957149
Rehkamper, Klaus 4.16951714797492e-05
Zhao, Shubin 0.000162234125066088
Small, Sharon 4.4871378702718e-05
Freeman, Andrew 3.72470741774623e-05
Poutsma, Arjen 8.56357604307987e-05
Raux, Antoine 9.6592317229329e-05
Odani, Michitaka 1.98712782087118e-05
Pinho, Roberto 1.98712782087118e-05
Rooth, Mats 0.00177674007442892
Pecina, Pavel 5.46611646899879e-05
Trancoso, Isabel 1.98712782087118e-05
Wachsmuth, Sven 1.98712782087118e-05
Rigau, German 0.000426657142863022
Liu, Yuanjie 1.98712782087118e-05
Guo, Jun 1.98712782087118e-05
Tihanyi, L·szlÛ 3.11397136879833e-05
Brunson, Barbara A. 3.71673232309181e-05
Gebruers, Rudi 6.92364764252256e-05
Gigley, Helen M. 1.98712782087118e-05
Sonntag, Gerit P. 1.98712782087118e-05
Biermann, Alan W. 0.000260810530422662
Bos, Johan 0.000266916576297398
Martin, William A. 1.98712782087118e-05
Johnston, Michael 0.00023529874679136
Ramabhadran, B. 1.98712782087118e-05
Rich, Charles 5.58480704139885e-05
Roscheisen, Martin 0.000480604875201638
Heidlage, F. 3.60863973175491e-05
Saint-Amand, HervÈ 1.98712782087118e-05
Uchida, Hiroshi 5.31442322950165e-05
Damiano, Rossana 1.98712782087118e-05
Paladhi, Sibabrata 1.98712782087118e-05
Kumar, Rohit 3.17044563208462e-05
Krbec, Pavel 8.91211607702928e-05
Zacharski, Ron 1.98712782087118e-05
Kuhn, Karen 5.00729808074354e-05
Izumida, Yoshio 1.98712782087118e-05
Berglund, Anders 3.52944378474104e-05
Xu, Fang 1.98712782087118e-05
Sporleder, Caroline 6.27122007080691e-05
Thadani, Kapil 1.98712782087118e-05
Meng, Yao 1.98712782087118e-05
Kassner, Laura 1.98712782087118e-05
Robinson, Susan 1.98712782087118e-05
Kimura, Kazuhiro 2.29489729430411e-05
Soares, Matthew C. 3.24639777458821e-05
Chen, Cheng-Der 7.88968117971257e-05
Al-Shalabi, Riyad 8.91163689013739e-05
Stuttle, Matthew 2.69938426698965e-05
Zhou, Lixin 1.98712782087118e-05
Suriyentrakorn, Pasin 2.49987551149419e-05
Xu, Jinxi 6.906442214785e-05
Dowding, John 0.00106216655692214
Fischer, Kerstin 1.98712782087118e-05
Edwards, Jane 5.04032967902205e-05
Leseva, Svetlozara 1.98712782087118e-05
Wang, Xiaolong 1.98712782087118e-05
Kjaersgaard, Poul Soren 3.90526030785049e-05
Colvin Clark, Ruth 1.98712782087118e-05
Kawata, Yasuhiro 3.49374231658731e-05
Perzanowski, Dennis 0.000110132226108552
Divi, Vijay 1.98712782087118e-05
Francom, Jerid 1.98712782087118e-05
Deodhare, Dipti 1.98712782087118e-05
Rogers, Jon 1.98712782087118e-05
Grimes, Stephen 1.98712782087118e-05
Wojtowicz, Beata 2.66736524238024e-05
Dardaine, Joanne 1.98712782087118e-05
Lapata, Mirella 0.00094796739857632
Knippen, Robert 8.68021420289806e-05
Collins, Allan M. 1.98712782087118e-05
Pretorius, Laurette 1.98712782087118e-05
Bandyopadhyay, Sivaji 3.16603453820969e-05
Niu, Zhengyu 6.75811529828003e-05
Li, Baoli 1.98712782087118e-05
Vicedo Gonzalez, Jose Luis 5.17239348033119e-05
Kilbury, James 7.98450878254868e-05
Ciric, Branimir 2.36154573348061e-05
Sidner, Candace L. 0.00308210984785378
Buckeridge, Alan M. 2.71082602150899e-05
Kepser, Stephan 1.98712782087118e-05
Dillet, Bruno 4.85800006999184e-05
Heljakka, Ari 1.98712782087118e-05
Bu, Jiajun 1.98712782087118e-05
Jagadish, H. V. 1.98712782087118e-05
Lun, Caesar Suen 2.98233148071194e-05
Lee, Hyunjung 1.98712782087118e-05
Leon, Marjorie 2.4421861305121e-05
Arguello, Jaime 2.59055779555633e-05
Du, Yongping 2.17383434762992e-05
Huettner, Alison K. 6.33317573118582e-05
Chugur, Irina 0.000151954649549727
Mulkar, Rutu 4.73213137079898e-05
Berlanga-Llavori, Rafael 1.98712782087118e-05
Eskin, Eleazar 0.000151498200756068
Epstein, Samuel S. 1.98712782087118e-05
Moschitti, Alessandro 0.000159893073573497
Duboue, Pablo Ariel 8.37680873330813e-05
Tam, Daniel 1.98712782087118e-05
Nakatani, Christine H. 0.00048620049153966
Feldhaus, Anke 1.98712782087118e-05
Peserico, Enoch 8.54864733323724e-05
Kis, Balazs 0.000111340608020858
Bouchard, Alexandre 2.44847934169329e-05
Dixon, Mike 1.98712782087118e-05
Xia, Hairong 1.98712782087118e-05
Fujii, Atsushi 0.000174070488245451
CRISTEA, Dan 2.54587455199602e-05
Hansen, Steffen Leo 3.09971785167453e-05
Klapaftis, Ioannis 1.98712782087118e-05
Eschenbach, Carola 4.16951714797492e-05
Gamon, Michael 0.000165413455462207
Kaplan, Ronald M. 0.0015267108418446
Muto, Yukiyoshi 2.14655065612844e-05
Loos, Berenike 4.40161264393023e-05
Kunze, Manuela 1.98712782087118e-05
Hirohata, Kenji 1.98712782087118e-05
Elkateb-Gara, Faiza 2.20541039445139e-05
Yakushiji, Akane 7.79772605377523e-05
Riccardi, Giuseppe 0.000203464108116721
Rumshisky, Anna 7.73490780464824e-05
Nicolas, Lionel 1.98712782087118e-05
Ma, Yanjun 2.82370701294112e-05
Kwasny, Stan C. 0.000877790236120813
Ijdens, Jan 2.64771158421661e-05
Pitrelli, John F. 4.08647266779749e-05
Della Pietra, Vincent J. 0.0062797153352798
Kojilna, Takeyuki 1.98712782087118e-05
Breen, Jim 0.000118813174046573
Shemtov, Hadar 0.000156721428563958
Beroule, Dominique 1.98712782087118e-05
Smith, Carlota 2.34433116754727e-05
Tjong Kim Sang, Erik F. 0.000889004673376769
Imamura, Kenji 5.99381695079606e-05
Niwa, Yoshiki 0.000104889574054222
Heeman, Peter A. 0.000340634168388255
Qazvinian, Vahed 1.98712782087118e-05
Wang, Kuansan 1.98712782087118e-05
Frasconi, Paolo 1.98712782087118e-05
Kawai, Atsuo 4.56077254689377e-05
King, Margaret 0.000230867609382748
Pantachat, Wantanee 7.11588046546588e-05
Gawron, Jean Mark 0.000850478502322993
PETKEVIC, Vladimir 1.98712782087118e-05
Tey, TongGuan 4.14619689235452e-05
Isogai, Shuntaro 4.2018282504375e-05
Raffaelli, Remo 1.98712782087118e-05
Billing Jr., Floyd H. 6.97382883035796e-05
Martins, Filipe M. 1.98712782087118e-05
Seide, Frank 3.65511549007978e-05
Franco, Horacio 2.36988786491404e-05
Ichii, Koji 2.9457866830768e-05
Twomey, David 2.59504611454137e-05
Arregi, Olatz 2.65384938720825e-05
Carroll, Glenn 0.000293912480891328
Van Aelten, Filip 1.98712782087118e-05
Kayaalp, Mehmet 2.99033305714944e-05
Gong, Junping 1.98712782087118e-05
Estival, D. 1.98712782087118e-05
Meurers, Walt Detmar 0.000132303844998464
Ferrandez, A. 1.98712782087118e-05
Foltz, Peter W. 1.98712782087118e-05
Oostdijk, Nelleke 2.72598154825885e-05
Lytinen, Steven L. 2.2665011864336e-05
Hu, Rile 1.98712782087118e-05
Panttaja, Erin 1.98712782087118e-05
Hauenschild, Christa 3.79624445841622e-05
Fritzson, Richard 1.98712782087118e-05
Scholz, Mario 0.000142330408605606
Moszczy≈Ñski, Rados≈Çaw 1.98712782087118e-05
Fukumoch, Yoji 1.98712782087118e-05
Brown, Jonathan 3.77773947374798e-05
Kubler, Natalie 2.42284169033702e-05
Pianta, Emanuele 6.38963445834503e-05
Rabiner, Lawrence R. 0.000160961616227585
Dalrymple, Mary 0.000185391597418645
Schmelzenbach, Mark 0.000113827579135821
Miliaraki, Spyridoula 4.98495983996009e-05
Sindelar, Michael 2.89342943058038e-05
Hwang, Jena D. 2.07093983053991e-05
LETOURNEAU, Sylvain 1.98712782087118e-05
Tuldava, Juhan 2.90112160569111e-05
Bhandari, Harendra 1.98712782087118e-05
Fabricz, Karoly 1.98712782087118e-05
Bohm, Klemens 1.98712782087118e-05
Gaussier, Eric 0.000347471708828544
Tutin, Agnes 4.12597971215758e-05
Chung, Euisok 1.98712782087118e-05
Moszkowicz, Jessica L. 1.98712782087118e-05
Nakase, Sumio 2.5862679145917e-05
Issar, Sunil 0.000213005728419321
Sable, Carl 0.000170462591802534
Sterling, John 0.00116983376954109
Gates, Barbara 0.000233846207669669
Sigelman, Sergey 3.5653275022331e-05
Stumberger, Douglas E. 0.000167793055414676
Chen, Stanley F. 0.000873637605513933
Gallippi, Anthony F. 5.15030580025098e-05
Picheny, Michael A. 4.14653132417751e-05
Suzuki, Jun 0.000188590299100027
Gillick, Laurence S. 0.000228152179066059
Nitta, Tomoaki 4.01787127435147e-05
Maud, Ehrmann 1.98712782087118e-05
Florian, Radu 0.000809707377396389
Stubbs, Amber 1.98712782087118e-05
Li, Yiping 1.98712782087118e-05
Kato, Susumu 5.74766137078993e-05
Tetreault, Joel R. 0.000220795138831656
Orasan, Constantin 3.54011252473592e-05
MassÛ, Guillem 1.98712782087118e-05
Farrell, Robert 1.98712782087118e-05
Morante, Roser 2.08800492045601e-05
Turian, Joseph P. 0.000137885213906209
Mutton, Andrew 2.4144638907556e-05
Salmon-Alt, Susanne 2.2665011864336e-05
Costantini, Erica 0.00012134624354695
Brandle, Stefan 1.98712782087118e-05
Andersen, Peggy M. 0.00014637056651966
Gorz, Gunther 7.9715834849695e-05
Gauch, Susan 1.98712782087118e-05
Guo, Wenyuan 8.26797738296998e-05
Cohen-Sygal, Yael 1.98712782087118e-05
Johnson, Stephen B. 1.98712782087118e-05
Nutter, J. Terry 0.000229308279794956
De Gispert, Adria 9.95791508099147e-05
Constantin, Alexandra 0.000251363200135874
Roland, Douglas 0.000108180340504263
Lambeau, Fabre 2.75024167685094e-05
He, Jingzhou 1.98712782087118e-05
Dickinson, Sven 1.98712782087118e-05
Aldezabal, Izaskun 5.19942002052821e-05
Kolluru, BalaKrishna 2.39506954208497e-05
Zhang, Yu 1.98712782087118e-05
Li, Jianfeng 3.52512098621566e-05
Alegria, IÒaki 1.98712782087118e-05
Lee, Hyo-Jung O. 1.98904791273072e-05
Kaemareik, Gary 3.21977851749273e-05
Gorrell, Genevieve 7.34775116719467e-05
Girju, Roxana 0.000533076904230515
Lampert, Andrew 1.98712782087118e-05
Dhillon, Raj 0.000161741519841485
Klein, Ewan 0.000447401157357184
Huang, Fei 0.000105111380338968
Burstein, Mark H. 9.06729955706879e-05
Cassell, Justine 0.000215049456652281
Dilley, Stephan 4.15455017506142e-05
Bigham, Jeffrey 3.23734175251293e-05
Crowther, William 0.000200211803315488
Park, Youngja 8.31804273643125e-05
Harmeling, Stefan 2.60393411577928e-05
Hovermale, DJ 3.20358770941933e-05
Meunier, Frederic 3.85706841260693e-05
Yip, Kenneth Man-Kam 4.24218133790838e-05
Lesea, Karen 1.98712782087118e-05
Lai, Yu-Sheng 3.44640321301954e-05
Pogliano, Paolo 2.15273614111894e-05
Otani, Miyo 2.27294973256296e-05
Strong, William J. 1.98712782087118e-05
Genzmann, Heinz 1.98712782087118e-05
Dipper, Stefanie 3.38391205143144e-05
Levinson, S. E. 3.76594015469372e-05
Davies, Todd 0.00023524863909742
Forcada, Mikel L. 6.22543929137989e-05
Chiorean, Oana Andreea 1.98712782087118e-05
Melo, Gerard de 1.98712782087118e-05
IJdens, Jan 1.98712782087118e-05
Xiao, Huiyong 1.98712782087118e-05
Fernandez, Ruben 1.98712782087118e-05
Ahonen-Myka, Helana 1.98712782087118e-05
Quasthoff, Uwe 2.9006927520772e-05
Eckart, Kerstin 1.98712782087118e-05
Shawe-Taylor, John 2.99737824355441e-05
Zelenko, Dmitry 0.000205669642217932
Raab, Sybille 4.03970818632083e-05
Barrutieta, Guillermo 1.98712782087118e-05
Wu, Yunfang 3.53903892193002e-05
Elliott, Debbie 2.35851137738316e-05
Watanabe, Takao 1.98712782087118e-05
Kerre, Etienne 1.98712782087118e-05
Zong, Chengqing 2.07660643540652e-05
Mork, James G. 2.90449604685095e-05
Lewis, Richard L. 1.98712782087118e-05
Stucky, Susan U. 4.41831680742863e-05
Theeramunkong, Thanaruk 3.90266843859385e-05
Hess, Michael 0.000133604863295754
Hurum, Sven 2.82524791755844e-05
Papineni, Kishore 0.00137682772161238
Biber, Douglas 0.000271361083145888
Ligozat, Gerard 2.64095126764034e-05
Itoh, Takayuki 1.98712782087118e-05
Maples, Julie 4.0492997962697e-05
Hargraves, Orin 4.02701039482926e-05
Jacquemin, Christian 0.000251883231265554
Osborne, Miles 0.000597125769896108
Carlson, Lynn 0.000445378102852081
Vanhatalo, Ulla 1.98712782087118e-05
Emms, Martin 3.05975730956206e-05
Nepil, Milos 1.98712782087118e-05
Lungen, Harald 1.98712782087118e-05
Bick, Eckhard 3.81031265342248e-05
Wang, Zhongjian 1.98712782087118e-05
Banik, Eva 1.98712782087118e-05
Kilicoglu, Halil 3.61808338426972e-05
Sanyal, Ratna 1.98712782087118e-05
Taylor, Ann 3.1162108095231e-05
Japkowicz, Nathalie 2.51718201864359e-05
Wang, Xiaolin 1.98712782087118e-05
Barbero, Cristina 2.85424807836088e-05
Ferrandez, Oscar 1.98712782087118e-05
Vincze, Veronika 2.50064882843315e-05
Ebert, Christian 2.70144143463938e-05
Cha, Jeongwon 5.72112466269143e-05
Dyvik, Helge 0.000124064285414386
Borin, Lars 4.9828918973457e-05
Mohammad, Saif 7.17951446449027e-05
King, Paul John 4.10609126573347e-05
Zabludowski, Margalit 4.43356125372167e-05
Reddy, Manohar 1.98712782087118e-05
Bruce, Rebecca F. 0.000773763614971333
Papagianopoulou, Aggeliki 1.98712782087118e-05
Boguslavsky, Igor 5.46286289227337e-05
Ono, Kotaro 4.01787127435147e-05
Yamada, Setsuo 4.06209332659357e-05
De Buenaga Rodriguez, Manuel 2.43790698866124e-05
MacIntyre, Robert 0.000648553868860954
Prevot, Laurent 4.6324859376833e-05
Rudin, Cynthia 3.80202486783114e-05
Liu, Xiaohua 1.98712782087118e-05
Damas, Luis 4.00901137729966e-05
Kording, Konrad P. 3.19529289392244e-05
Peral, Jesus 3.21732200398427e-05
Bannard, Colin 0.000280179713828664
Macleod, Catherine 0.000616528182243018
Ng, Vincent 0.000490705743923721
Healey, Patrick G.T. 4.51505696272774e-05
Eyassu, Samuel 3.23552943154998e-05
Zhang, Yue 3.35329864838807e-05
Tsarfaty, Reut 2.73972063991485e-05
Barr, Cory 1.98712782087118e-05
Sch¸tze, Hinrich 1.98712782087118e-05
Bilbro, G. 3.60863973175491e-05
Wehrle, Thomas 2.65118036236609e-05
Nissim, Malvina 0.000178299859382901
Lorente, MercË 1.98712782087118e-05
McCarley, J. Scott 9.80377978094575e-05
Picchi, Eugenio 5.94358510280138e-05
Li, Jianguo 1.98712782087118e-05
Korkrmaz, Turgay 1.98712782087118e-05
Loeff, Nicolas 2.83767096562942e-05
Choi, Won Seug 2.53926712726945e-05
Wang, Yefeng 1.98712782087118e-05
Wu, Yu-Chieh 3.98955303796989e-05
Ookawa, Hiroshi 1.98712782087118e-05
Fan, Xinghua 1.98712782087118e-05
Rajasekaran, Sanguthevar 2.87413387694297e-05
Jin, Yaohong 1.98712782087118e-05
Haskell, Benjamin R. 2.30344709284262e-05
Carlberger, Alice 4.37184573424222e-05
Bollegala, Danushka 3.39702428027708e-05
Tomiura, Yoichi 1.98712782087118e-05
Lin, Xiaojun 3.37113136906828e-05
Neumann, Gunter 0.000267400310164088
Nguy·ªÖn, Thi Minh Huy·ªÅn 1.98712782087118e-05
Murray, William 2.3106321940856e-05
Bray, Patrick 1.98712782087118e-05
Sassano, Manabu 0.000121096634405453
Venkataraman, Anand 9.17908391129116e-05
Versley, Yannick 1.98712782087118e-05
Vickrey, David 5.6658443966301e-05
Collins-Thompson, Kevyn 0.000100711643627844
Manabu, OKUMURA 1.98712782087118e-05
Dias, Gael 5.71180757674419e-05
Pighin, Daniele 6.63696785899435e-05
Stoness, Scott C. 4.55073446155822e-05
Perera, Praharshana 2.03642900302925e-05
Granville, Robert Alan 5.95849976127791e-05
Hachey, Ben 4.65599156763955e-05
Muller, Philippe 2.62598831432321e-05
Silliman, Scott 9.93075172242783e-05
Segarra, Encarna 2.32961466736799e-05
Midgley, T. Daniel 2.51543564602478e-05
Bender, Oliver 9.32901954790107e-05
Chapman, Wendy 2.80524847110499e-05
Corbett, Peter T. 3.67627496225407e-05
Thollard, Franck 3.28117437219524e-05
Klein, Sheldon 5.33960820762022e-05
Chang, Conrad 1.98712782087118e-05
Tenney, Yvette 1.98712782087118e-05
Yoshida, Kazuhiro 6.32026932679026e-05
Campbell, Lyle 2.8265036815707e-05
Tani, Tadaaki 1.98712782087118e-05
Yan, Yongfeng 2.25661170649629e-05
Mrozinski, Joanna 1.98712782087118e-05
Carreras, Xavier 0.000509784808123521
Padro, Lluis 0.000244221875942157
Goeser, Sebastian 2.93506187816258e-05
Torre, Doroteo 1.98712782087118e-05
Kass, Ariel 1.98712782087118e-05
Huang, Qiang 1.98712782087118e-05
Wehrli, Eric 0.000166793035276064
Yamaji, Takahiro 1.98712782087118e-05
Pennachin, Cassio 1.98712782087118e-05
Larson, Elaine 1.98712782087118e-05
Jin, Zhihui 2.11942149766412e-05
ChauchÈ, Jacques 1.98712782087118e-05
Cristea, Dan 0.000134588216767622
Zhang, Lei 0.000121142822194833
SanJuan, Eric 2.90174445470035e-05
Sprague, Colin 2.10701217697459e-05
Schwenk, Holger 5.4391768084826e-05
Leidner, Jochen L. 2.51395859649676e-05
George, Bryan 2.25680188436979e-05
Eastmond, John F. G. 2.79887644934793e-05
Blackburn, Patrick 9.12904642645975e-05
Grewal, Amardeep 1.98712782087118e-05
Bontas, Elena Paslaru 1.98712782087118e-05
Fanchon, Eric 1.98712782087118e-05
